,Review,Subtheme_1,Sentiment_1,Subtheme_2,Sentiment_2,Subtheme_3,Sentiment_3,Subtheme_4,Sentiment_4,Subtheme_5,Sentiment_5,Subtheme_6,Sentiment_6,Subtheme_7,Sentiment_7,Subtheme_8,Sentiment_8,Subtheme_9,Sentiment_9,Subtheme_10,Sentiment_10,Subtheme_11,Sentiment_11,Subtheme_12,Sentiment_12,Subtheme_13,Sentiment_13,Subtheme_14,Sentiment_14,Subtheme_15,Sentiment_15,Subtheme_16,Sentiment_16,Subtheme_17,Sentiment_17,Subtheme_18,Sentiment_18,Subtheme_19,Sentiment_19,Subtheme_20,Sentiment_20,Subtheme_21,Sentiment_21,Subtheme_22,Sentiment_22,Subtheme_23,Sentiment_23,Subtheme_24,Sentiment_24,Subtheme_25,Sentiment_25,Subtheme_26,Sentiment_26,Subtheme_27,Sentiment_27,Subtheme_28,Sentiment_28,Subtheme_29,Sentiment_29,Subtheme_30,Sentiment_30
24,Best prices and fitted by local company.,good price fit local company,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Had to wait in garage for more than an hour to get fitted. Booked a time slot to avoid any wait,have wait garage more hour fit,positive,book time slot avoid wait,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Very easy to use and good prices.,easy use good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Had the tyres I wanted at the price I liked, and the fitting garage were as good as always.",have tyre want price like fitting garage good,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Quick ordering, great service from the garage",Quick ordering great service garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Simple to order. Easy to book your appointment. Tyres turned up on time. Fitters did a great job.,simple order,negative,easy book appointment,positive,tyre turn time,negative,fitter do great job,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Easy to use site. Good choice of tyres at a good price. Choice of tyre fitters near my home plentiful.,easy use site,positive,good choice tyre good price,positive,choice tyre fitter home plentiful,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,It was easy to find the tyres I needed and close to home for fitting,easy find tyre need close home fit,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Great service car ready on time and price was reasonable,great service car ready time price reasonable,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Great price and service,great price service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),staff REDACTED go help organise booking order tire,negative,staff choose garage quick efficient,positive,,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Quick, convenient, hassle-free. No need to phone around for prices and I'm confident I save money.",quick convenient hassle free,positive,need phone price confident save money,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"PRICE WAS COMPETATIVE, FITTING WAS EASY",price competative FITTING EASY,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[REDACTED]' website was easy to use, gave clear options for tyres suitable for my car. Tyres are good value for the good quality they are. The staff at the garage I chose were very friendly and flexible to fit my needs.",website easy use give clear option tyre suitable car,positive,tyre good value good quality,positive,staff garage choose friendly flexible fit need,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Easy to order tyres, choose fitting centre and everything went smoothly",easy order tyre choose fitting centre go,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,My tyre was fitted as per time and seem to be efficient . OST of the staff we pleasant,tyre fit time seem efficient,negative,OST staff pleasant,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Excellent service very nice garage staff CFM NORTHAMPTON SUPERB,excellent service nice garage staff CFM NORTHAMPTON SUPERB,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Great choice of tyres and prices, smooth ordering and fitting booking",great choice tyre price smooth ordering fitting booking,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Easy to order all ready when I got there fitted quickly with no issues at a good price,easy order ready get fit issue good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Great service great price you just have to pick the garage carefully,great service great price have pick garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,The prices are competitive and the local garage provides great service.,price competitive local garage provide great service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Easy to navigate website, was sent notification of the appointment, but most important the suggested tyre fitter was excellent. I will be recommending and using [REDACTED] and their suggested fitter, Merityre in Bookham in the future",easy navigate website send notification appointment important suggest tyre fitter excellent,positive,recommend use REDACTED suggest fitter Merityre Bookham future,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,arrange line,positive,decent price tyre small extra charge fit home,positive,do pleasant fitter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Convenient, easy way to search for tyres and pick a garage and a time that is suitable",convenient easy way search tyre pick garage time suitable,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Good price. Quality tyres.,good price,positive,quality tyre,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Very good service. Confidence in price.,good service,positive,confidence price,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Simple ordering, convenient fitting and sensible prices",simple ordering convenient fitting sensible price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ease of use The mechanics who fitted my tyres were very helpful.,ease use mechanic fit tyre helpful,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Easy to order easy to get fitted at a time and place to suit,easy order easy fit time place suit,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Happy with [REDACTED] but won’t be using the garage to fit them , the man at the garage was very rude to me , so when I need tyres again from [REDACTED] I won’t be going to just tyres in Solihull off life lane",happy REDACTED use garage fit man garage rude need tyre go tyre Solihull life lane,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Competitive price and convenient fitting in Northern Ireland.,competitive price convenient fitting Northern Ireland,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Service and price were incomparable to other similar services and fitter couldn’t of been anymore friendlier,service price incomparable other similar service fitter friendly,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Slow fitting.,slow fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Great prices and selection of tyres, convenient fitting locations",great price selection tyre convenient fitting location,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Used them before and was happy with the quick service and price for full fitting,use happy quick service price full fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Not a 10 as I found the garage a bit difficult to find,find garage bit difficult find,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"good price, good service",good price good service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Always good online price and very convenient - and excellent - fitting service at SBServices, Strathaven",good online price convenient excellent fit service sbservice Strathaven,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Good prices. easy to arrange local fitting,good price,positive,easy arrange local fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Miles better price than anywhere else, selection of fitting centres and methods very versatile",mile well price selection fitting centre method versatile,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,more expensive,expensive,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Good price. Local fitters.,good price,positive,local fitter,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],company fit tyre take long time do job,positive,like fact tyre book,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Contacted to change date as original date was changed by [REDACTED],contact change date original date change,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Dropped the car off at the time stated on the order and 30 mins later ready to drive away simple great job.,drop car time state order min ready drive simple great job,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,I knew about the superb service because I have bought tyres before from [REDACTED].,know superb service buy tyre REDACTED,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Efficient and good value,efficient good value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Good choice, easy to use, great pricing",good choice easy use great pricing,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,This is the best price and range of tyres I could find also local garages and good times,good price range tyre find local garage good time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,because it was hassle free. booked it online. took it to the garage on a Saturday and collected after. it was cheaper than the garage I took the car to.,hassle free,positive,book,negative,take garage Saturday collect,negative,cheap garage take car,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,I have used [REDACTED] on a number of occasions and have always received great service and a really good quality product. The number and locations of the approved fitting centres makes it easy to fit in with work.,use REDACTED number occasion receive great service good quality product,positive,number location approve fitting centre make easy fit work,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",process simple tyre buy good price,positive,only issue fitting take minute arrive depot leave feel long pre - arranged appointment,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Excellent service, good prices and lots choices.",excellent service good price lot choice,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Easy to order and choose your own tyre fitter,easy order choose own tyre fitter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Great price, great customer experience at the garage I chose. Couldn’t fault the whole thing",great price great customer experience garage choose,positive,fault whole thing,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.",excellent service tyre deliver fitter tyre fit car minute,positive,good service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Good price and fitting was easy to arrange,good price fitting easy arrange,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Good service and price. ‘Faceless’ company,good service price,positive,faceless company,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,The website is easy to use and you can choose the garage you want to complete the work,website easy use choose garage want complete work,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Excellent service! Simple website ordering system, tyres delivered to my local garage and fitted in a timely manner.",excellent service,positive,simple website order system tyre deliver local garage fit timely manner,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Great service and competitive price,great service competitive price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Item went missing from my vehicle during the time it was with the Company that fitted my tyres,Item go miss vehicle time Company fit tyre,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,You missed the appointment time and told me the night before,miss appointment time tell night,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Excellent all round, very competitive prices and the team were hugely helpful",excellent round competitive price team helpful,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Unbeatable Prices. Brilliant way to purchase tyres and plenty of local garages to fit them.I was unable to find a better deal elsewhere.,Unbeatable price,negative,brilliant way purchase tyre plenty local garage fit,positive,unable find well deal,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Excellent service, very quick & efficient at a very good price",excellent service quick efficient good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Got the tyres I wanted with no hassle and at the best price.,got tyre want hassle good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Easy to use web site. User friendly appointment fitting and importantly great prices and great range of tyres,easy use web site,positive,user friendly appointment fitting great price great range tyre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Exactly what I wanted. As always, great prices and simple ordering, backed up by an excellent fitter. Exactly what I want.",want,positive,great price simple ordering back excellent fitter,positive,want,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Good choice of products on the website, and efficient delivery and fitting process in conjunction with our local garage.",good choice product website efficient delivery fitting process conjunction local garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Excellent service, and very good cost saving on tyres. Would recommend.",excellent service good cost saving tyre,positive,recommend,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Very pleased. Excellent price on line and then fitted locally. What’s not to like,",pleased,positive,excellent price line fit,positive,’ like,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Good price, arrived in time",good price arrive time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Excellent service and good price too, have used previously and will use again",excellent service good price use use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"New tyres. Ease of purchase, garage professional and courteous.",new tyre,positive,ease purchase garage professional courteous,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,affordable good online tyre data info,positive,only negative comment want book home service book slot pm,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Nice and Easy. The website nice and simple to use. A local garage fitted them at a time of my choosing. No issues or problems with the service.,nice Easy,positive,website nice simple use,positive,local garage fit time choosing,negative,issue problem service,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Why the wait. Purchasing the new tyre and booking an appointment for fitting was very straightforward, but I was rather disappointed that having made a booking I still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops.",wait,negative,purchase new tyre book appointment fitting straightforward disappointed make booking have wait hour garage actual fitting take min top,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Thought I’d already done this but it’s definitely worth doing again as I’m very satisfied with [REDACTED] and the authorised fitting firm Shawfix. Very good system,efficient and great value for money. I highly recommend this company and I’m glad a friend of mine recommended them to me too.",Thought do,negative,’ worth do ’m satisfied REDACTED authorise fitting firm Shawfix,positive,good system efficient great value money,positive,recommend company ’m glad friend mine recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Easy to use and faultless from start to finish,easy use faultless start finish,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Everything done as expected. However either this fitter (ATS) or my local garage where I had a service done has put some finger marks on the inner roof lining. but I can't be sure which.,do expect,negative,fitter ATS local garage have service do put finger mark inner roof lining,negative,sure,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Tyres purchase and fitting. Tyres fitted to my car locally at a great price.Kept informed of fitting date and time throughout.All in all a fuss free and pleasurable experience which I will definitely use again.,tyre purchase fitting,positive,tyre fit car great price,positive,keep inform fitting date time,positive,fuss free pleasurable experience use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Very friendly and professional. Thanks for a speedy and painless turnaround. Definitely will be using you again.,friendly professional,positive,thank speedy painless turnaround,positive,use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Great garage great tyres great service,great garage great tyre great service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Quick and easy service from ordering the tyres to the fitting.,quick easy service order tyre fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Good competitive price and fitted bang on time slot,good competitive price fit bang time slot,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Great service. Easy to order with a first class fitting service,great service,positive,easy order first class fitting service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Busy garage. Very busy garage make a appointment very pleased with the work that was done,busy garage,positive,busy garage make appointment pleased work do,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,It was easy to pick the tyres I wanted at a great price. Then select a garage and time that suits you.,easy pick tyre want great price,positive,select garage time suit,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Excellent service and simple system for the whole process. Would recommend to all and will definitely use again.,excellent service simple system whole process,positive,recommend use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Great service, very easy to use website. The staff at my local dealer - Oak Tree Garage,Darlington Road, DL6 2PA - were very polite, helpful and informative. Overall a brilliant experience, I will definitely use them again.",great service easy use website,positive,staff local dealer Oak Tree Garage Darlington Road DL6 2PA polite helpful informative,positive,brilliant experience use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,New Tyres,positive,quick delivery fitting centre quick efficient,positive,def,negative,use REDACTED garage,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
